Method,Name,Error,Occurrences
POST,/api/v1/travelplanservice/travelPlan/cheapest,"""ConnectionRefusedError(111, 'Connection refused')""",225
GET,/api/v1/foodservice/foods/2024-02-28/Shang%20Hai/Su%20Zhou/D1345,"'ChunkedEncodingError(ProtocolError(""Connection broken: ConnectionResetError(104, \'Connection reset by peer\')"", ConnectionResetError(104, \'Connection reset by peer\')))'",1
GET,/api/v1/foodservice/foods/2024-02-28/Shang%20Hai/Su%20Zhou/D1345,"""HTTPError('403 Client Error: Forbidden for url: /api/v1/foodservice/foods/2024-02-28/Shang%20Hai/Su%20Zhou/D1345')""",57
GET,/api/v1/foodservice/foods/2024-02-28/Shang%20Hai/Su%20Zhou/D1345,"""HTTPError('502 Server Error: Bad Gateway for url: /api/v1/foodservice/foods/2024-02-28/Shang%20Hai/Su%20Zhou/D1345')""",1231
POST,/api/v1/travelplanservice/travelPlan/cheapest,"""HTTPError('504 Server Error: Gateway Time-out for url: /api/v1/travelplanservice/travelPlan/cheapest')""",3
GET,/api/v1/trainservice/trains,"""ConnectionRefusedError(111, 'Connection refused')""",18
GET,/api/v1/foodservice/foods/2024-02-28/Shang%20Hai/Su%20Zhou/D1345,"'ChunkedEncodingError(ProtocolError(""Connection broken: InvalidChunkLength(got length b\'\', 0 bytes read)"", InvalidChunkLength(got length b\'\', 0 bytes read)))'",3
POST,/api/v1/travelplanservice/travelPlan/cheapest,"""ConnectionResetError(104, 'Connection reset by peer')""",440
POST,/api/v1/travelplanservice/travelPlan/cheapest,"""HTTPError('403 Client Error: Forbidden for url: /api/v1/travelplanservice/travelPlan/cheapest')""",2976
GET,/api/v1/trainservice/trains,"""HTTPError('502 Server Error: Bad Gateway for url: /api/v1/trainservice/trains')""",22
GET,/api/v1/foodservice/foods/2024-02-28/Shang%20Hai/Su%20Zhou/D1345,"""ConnectionResetError(104, 'Connection reset by peer')""",16
POST,/api/v1/travelplanservice/travelPlan/cheapest,"""HTTPError('502 Server Error: Bad Gateway for url: /api/v1/travelplanservice/travelPlan/cheapest')""",1876
GET,/api/v1/stationservice/stations,"""HTTPError('502 Server Error: Bad Gateway for url: /api/v1/stationservice/stations')""",14
